id	title	desc	type	difficulty	duration	category	goalKeys	states	ctaAct
act_mood_one	気持ちを一言だけ残す	しんどい日も、ひとことだけで大丈夫。	app	easy	1	C	organize_feelings|understand_my_feelings|not_sure_yet	calm|mixed|heavy	goto-mood
act_reflect_once	もやもやを1回だけ整理する	頭の中を少し外に出すと楽になる。	app	normal	3	A	organize_feelings|reduce_overthinking	mixed|heavy	start-reflect
act_one_event	今日いちばん気になったことを1つ残す	全部じゃなくて、1つだけでいい。	daily	easy	1	C	organize_feelings|reduce_overthinking	calm|mixed|heavy	goto-mood
act_ai_one_line	もやもやしたらAIに一言だけ話す	うまく話せなくても、短く始めれば十分。	app	easy	1	A	reduce_overthinking|have_place_to_rely|not_sure_yet	calm|mixed|heavy	start-chat
act_phone_down	今日は5分だけスマホを置いて休む	止めようとしなくていい。置くだけでいい。	daily	easy	5	E	reduce_overthinking	mixed|heavy	
act_night_reset	寝る前に一言だけ置いて寝る	考えすぎる夜に、少しだけ外に出してみよう。	app	easy	2	G	reduce_overthinking|understand_my_feelings	calm|mixed|heavy	goto-rescue-night
act_breath_10s	10秒だけ呼吸する	長くやらなくていい。少しだけでいい。	daily	easy	1	D	reduce_overthinking|organize_feelings	calm|mixed|heavy	goto-rescue
act_mood_select	選ぶだけでも気持ちを残す	言葉にならなくても、選ぶだけでOK。	app	easy	1	H	understand_my_feelings|not_sure_yet	calm|mixed|heavy	goto-mood
act_mood_normal	「ふつう」の日も記録する	特別じゃない日を積み重ねるのが本当の軸になる。	app	easy	1	H	understand_my_feelings	calm|mixed|heavy	goto-mood
act_mood_night	夜に一回、気分を選ぶ	夜はとくに、選ぶだけで十分。	app	easy	1	H	understand_my_feelings|reduce_overthinking	calm|mixed|heavy	goto-mood
act_body_check	体の調子を一度だけ確認する	肩・お腹・顔、どれか1つだけ意識してみる。	daily	easy	1	D	understand_my_feelings	calm|mixed|heavy	
act_rescue_once	しんどい時に「ひといき」を開く	開くだけでも十分。使うかは後で決めていい。	app	easy	1	A	have_place_to_rely|reduce_overthinking	mixed|heavy	goto-rescue
act_talk_fuzzy	なんとなくの日に少しだけ話す	理由が言えなくても、話していい。	app	normal	2	A	have_place_to_rely	calm|mixed	start-chat
act_choose_relied	頼れる相手候補を1人だけ思い浮かべる	連絡しなくていい。候補があるだけで、少し安心できる。	social	bold	3	F	have_place_to_rely	calm	
act_safe_action	しんどい時に落ち着く行動を1つ決めておく	お茶・散歩・音楽など、自分の「いつもの」を決めておく。	daily	easy	2	G	have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_open_anytime	1日1回、このアプリを開く	何もしなくていい。開くだけで大丈夫。	app	easy	1	G	not_sure_yet	calm|mixed|heavy	
act_try_anything	気分チェックか一言会話、どちらか1つ	合う方が、合っていきやすい。	app	easy	1	A	not_sure_yet	calm|mixed|heavy	goto-mood
act_a04	出来事と気持ちを分けてみる	起きたことと、その時の気持ちを分けて考える。	app	normal	3	C	organize_feelings	calm|mixed	start-reflect
act_a05	今いちばん強い気持ちに名前をつける	うれしい、いや、悲しい、近いものを見つけるだけ。	daily	easy	1	C	organize_feelings|understand_my_feelings	calm|mixed|heavy	
act_a06	今日の出来事をひとことでまとめる	「今日は○○な日だった」で終えてよい。	daily	easy	1	C	organize_feelings	calm|mixed|heavy	
act_a07	気になることを大事・急ぎで分ける	頭の中で混ざっているものを2つの軸で分ける。	app	normal	3	E	organize_feelings|reduce_overthinking	calm|mixed	
act_a08	今の悩みを「ひとつのテーマ」に絞る	あれこれ全部ではなく、今週はひとつだけ扱う。	app	normal	3	E	organize_feelings	mixed	
act_a09	AIにひとこと話して、言い換えをもらう	自分の言葉を少し整理して返してもらう。	app	easy	1	A	organize_feelings	calm|mixed|heavy	start-chat
act_a10	今の気持ちに近い色を選ぶ	言葉にしにくい時は色から近い気分を見る。	app	easy	1	H	organize_feelings|understand_my_feelings	heavy	
act_a11	今の気持ちを「体の感じ」から見る	胸が重い、肩がこわい、落ち着かない、などを選ぶ。	app	easy	1	D	organize_feelings|understand_my_feelings	calm|mixed|heavy	
act_a12	今日の気持ちを「増えた/減った」で見る	朝より気持ちが増えたか減ったかだけ見てみる。	daily	easy	1	H	understand_my_feelings	calm|mixed|heavy	
act_a13	頭の中にあることを3つまで並べる	多くても3つまで。全部出し切らなくていい。	daily	normal	3	C	organize_feelings|reduce_overthinking	mixed	
act_a14	その悩みが起きやすい場面を1つ見つける	いつ、どこで、どんな時に出やすいかを見る。	app	normal	3	H	organize_feelings	calm	
act_a15	今週は考えなくていいことを1つ分ける	今向き合うことと、今は置いておくことを分ける。	daily	normal	3	E	reduce_overthinking|organize_feelings	mixed|heavy	
act_a16	今週向き合うことを1つ決める	頭の中にあること全部ではなく、今週扱うものを1つ選ぶ。	app	bold	3	E	organize_feelings	calm|mixed	
act_a17	整理した内容を今週のテーマに言い換える	整理して終わりではなく、今週どう向き合うかを短く決める。	app	bold	5	A	organize_feelings	calm	
act_a18	悩みについて「自分ができること」を1つ決める	考えるだけで終わらせず、小さい行動に変えてみる。	daily	bold	3	E	organize_feelings|reduce_overthinking	calm|mixed	
act_a19	AIにもやもやを話して次の一歩を決める	言葉にしたあと、そのまま今週の行動までつなげる。	app	bold	5	A	organize_feelings	calm|mixed	start-chat
act_a20	繰り返し気になるパターンを1つ見つける	どんな時に同じ気持ちになりやすいかまで見てみる。	app	bold	5	H	organize_feelings|understand_my_feelings	calm	
act_b02	今すぐ決めなくていいことを1つ分ける	頭の中の「保留」を1つ作る。	daily	easy	1	E	reduce_overthinking	calm|mixed|heavy	
act_b03	頭の中にあることを1つだけ外に出す	メモでもAIでもよい。1つ出すだけでいい。	app	easy	1	C	reduce_overthinking	calm|mixed|heavy	start-chat
act_b04	1分だけ別のものを見る	窓の外、手元、空の色など。考えごと以外に意識を向ける。	daily	easy	1	D	reduce_overthinking	mixed|heavy	
act_b06	気になりごとで「今できること」を1つ選ぶ	考えるだけになっている時に、できることだけ拾う。	app	normal	3	E	reduce_overthinking	calm|mixed	
act_b07	SNSを3分だけ閉じる	考えが広がりやすい時は、刺激を少し離してみる。	daily	easy	3	E	reduce_overthinking	mixed|heavy	
act_b08	今の不安を「事実/想像」に分ける	本当に起きていることと、予想していることを分ける。	app	normal	3	E	reduce_overthinking	calm|mixed	
act_b09	考えごとの時間を1分だけ区切る	ずっと考えるのではなく、1分でいったん終える。	daily	normal	1	E	reduce_overthinking	calm	
act_b10	今の悩みを「今日の分」だけにする	1週間先ではなく、今日扱うぶんだけ考える。	daily	normal	3	E	reduce_overthinking	calm|mixed|heavy	
act_b12	今の考えにタイトルをつける	「未来の不安」「人間関係のこと」など名前をつけて距離をとる。	daily	easy	1	E	reduce_overthinking|understand_my_feelings	calm|mixed|heavy	
act_b13	1分だけ歩くか体を伸ばす	頭の中だけで回っている時に、少し体に戻る。	daily	easy	1	D	reduce_overthinking	mixed|heavy	
act_b14	夜のための一言を決める	「今は寝る時間」「明日の自分にまかせる」など短い言葉を持つ。	daily	normal	3	G	reduce_overthinking	mixed	
act_b15	AIに「今は整理より休みたい」と伝える	進めるより止まる選択を、ちゃんと言葉にしてみる。	app	easy	1	A	reduce_overthinking	heavy	start-chat
act_b16	考えごとが始まった時の切り替え行動を決める	呼吸する、立つ、AIを開くなど、自分用の切り替えを持つ。	daily	bold	3	E	reduce_overthinking	calm|mixed	
act_b17	考えすぎやすいテーマの向き合い方を決める	全部ではなく、特に引っかかりやすいテーマに対策を持つ。	app	bold	5	E	reduce_overthinking	calm	
act_b18	不安に「今日やること/今はやらない」を決める	考えるだけを減らして、扱い方を分ける。	daily	bold	3	E	reduce_overthinking	calm|mixed	
act_b19	AIと「考えすぎた時の流れ」を振り返る	いつ始まり、どう長引くかを見て、自分なりの対策を作る。	app	bold	5	A	reduce_overthinking	calm	start-chat
act_b20	夜に考えすぎた時のルールを1つ作る	「23時以降は考えをメモに置いて終える」など。	daily	bold	3	G	reduce_overthinking	calm|mixed	
act_c02	今の気分に近い言葉を1つ選ぶ	言い切れなくても、近いもので大丈夫。	app	easy	1	H	understand_my_feelings	calm|mixed|heavy	goto-mood
act_c03	うれしい/いや/なんとも言えない を分ける	細かくなくていいので、まず3つに分けてみる。	daily	easy	1	H	understand_my_feelings	calm|mixed|heavy	
act_c05	気持ちと理由を1つずつ並べる	「さみしい/返信がこなかった」など1セットだけ書く。	daily	normal	3	C	understand_my_feelings	calm|mixed	
act_c06	AIに「この気持ちって何に近い？」と聞く	言いづらい時は、近い表現を一緒に探す。	app	easy	1	A	understand_my_feelings	calm|mixed|heavy	start-chat
act_c07	今の気分を体の感覚から見る	胸、肩、お腹、呼吸などの感じから今を知る。	app	easy	1	D	understand_my_feelings	mixed|heavy	
act_c08	スタンプや表情で今の気分を選ぶ	文字じゃなくても、近い感じを選ぶだけでいい。	app	easy	1	H	understand_my_feelings	heavy	goto-mood
act_c09	朝と夜の気分の違いを見てみる	1日の中で変わる感じを見つける。	daily	normal	3	H	understand_my_feelings	calm	
act_c10	同じ気分になりやすい場面を1つ探す	気持ちが出やすいタイミングに気づいていく。	app	normal	3	H	understand_my_feelings	calm|mixed	
act_c11	よかった/しんどかったを1つずつ見る	両方を少しだけ見て、自分の反応を知る。	daily	normal	3	H	understand_my_feelings	calm|mixed	
act_c12	今の自分に近い一文を選ぶ	用意された文から近いものを選んでみる。	app	easy	1	H	understand_my_feelings	calm|mixed|heavy	
act_c13	気持ちの強さを0〜3で見る	ある/少しある/かなりある、くらいで十分。	app	easy	1	H	understand_my_feelings	calm|mixed|heavy	
act_c14	今の自分に優しく言うなら何て言うか	自分への言葉から、ほんとの気持ちを見つける。	daily	normal	3	C	understand_my_feelings	mixed	
act_c15	1週間の気分の流れを振り返る	波があったか、似た日があったかを見る。	app	normal	5	H	understand_my_feelings	calm	
act_c16	気持ちが動いた場面を1日1回振り返る	何に反応しやすいかを少しずつつかんでいく。	daily	bold	3	H	understand_my_feelings	calm|mixed	
act_c17	AIと「最近よく出る気持ち」を整理する	ばらばらな気分をまとめて、傾向を見つける。	app	bold	5	A	understand_my_feelings	calm	start-chat
act_c18	気持ちごとに「してほしいこと」を1つ考える	悲しい時、疲れた時、イライラした時に何が必要かを見る。	daily	bold	3	G	understand_my_feelings|have_place_to_rely	calm|mixed	
act_c19	落ち着きやすいパターンを1つ見つける	話すと楽か、書くと整理できるか、休むと戻るかを見る。	app	bold	5	G	understand_my_feelings	calm	
act_c20	今週の気分ログから自分の傾向をまとめる	ただ記録するだけでなく、自分の特徴に言葉をつける。	app	bold	5	H	understand_my_feelings	calm	
act_d01	話せそうな人を1人だけ思い浮かべる	今すぐ連絡しなくていい。顔が浮かぶだけでOK。	social	easy	1	F	have_place_to_rely	calm|mixed|heavy	
act_d02	相談したい時の言い方を1つ見る	「ちょっと聞いてほしい」など、短い言い方を確認する。	app	easy	1	F	have_place_to_rely	calm|mixed|heavy	
act_d03	AIに相談の練習をする	誰かに言う前に、伝え方を少し試してみる。	app	normal	3	A	have_place_to_rely	calm|mixed	start-chat
act_d04	困った時に使えそうな場所を1つ確認する	学校、家族、保健室、相談先など候補を1つ見る。	app	easy	1	G	have_place_to_rely	calm|mixed|heavy	
act_d05	「まだ相談じゃないけど…」の言い方を試す	重く言わなくていい入り方を知っておく。	app	normal	3	F	have_place_to_rely	mixed	
act_d06	頼るのがこわい理由を1つだけ見る	何が引っかかっているかを少しだけ見てみる。	app	normal	3	F	have_place_to_rely	calm|mixed	
act_d07	連絡しやすいタイミングを考える	朝、帰り道、夜など送りやすい時間を決める。	daily	easy	1	F	have_place_to_rely	calm|mixed|heavy	
act_d08	送りやすい短文を1つ保存する	「ちょっと話したい」「少し聞いてほしい」などを持っておく。	daily	normal	3	F	have_place_to_rely	calm|mixed	
act_d09	相談したい相手の条件を考える	安心、話しやすい、責めない、など大事な条件を見る。	app	normal	3	G	have_place_to_rely	calm	
act_d10	人に言えない時の代わりの場所を確認する	AI、アプリ、相談窓口などの逃げ道を持っておく。	app	easy	1	G	have_place_to_rely	heavy	
act_d11	話したい内容を1文にしてみる	長く説明しなくても大丈夫な形にする。	daily	normal	3	F	have_place_to_rely|organize_feelings	mixed	
act_d12	助けてほしい度合いを選ぶ	聞いてほしい/一緒に考えてほしい/そばにいてほしい、などを選ぶ。	app	normal	3	F	have_place_to_rely	calm|mixed	
act_d13	相談前にAIと会話して気持ちを整える	そのまま人に行く前に、少し言葉を整える。	app	easy	3	A	have_place_to_rely|organize_feelings	calm|mixed|heavy	start-chat
act_d14	しんどい時に開く場所を1つ決める	このアプリ、メモ、連絡先など最初に開く場所を決める。	daily	easy	1	G	have_place_to_rely	calm|mixed|heavy	
act_d15	送らない前提で相談の練習を書く	送るかどうかは決めなくていい。文にするだけでよい。	daily	easy	3	F	have_place_to_rely	mixed|heavy	
act_d16	実際に送りやすい相談文を1つ完成させる	いざという時に使える短文を今のうちに用意する。	daily	bold	3	F	have_place_to_rely	calm|mixed	
act_d17	AIと「誰に頼るか」を具体的に決める	思い浮かべるだけでなく、今の自分に合う相手を絞る。	app	bold	5	F	have_place_to_rely	calm	start-chat
act_d18	相談する時に伝えたいこと3つを整理する	何を言えばいいかわからない状態を減らす。	app	bold	5	F	have_place_to_rely|organize_feelings	calm|mixed	
act_d19	今週中に「相談の入り口」だけ作る	送る、会う、話すの前に、きっかけだけ作る。	daily	bold	3	F	have_place_to_rely	calm|mixed	
act_d20	困った時の頼り先を2段階で決める	まず最初に開く場所と、次に頼る先をセットで持つ。	app	bold	5	G	have_place_to_rely	calm	
act_e03	AIにひとこと話してみる	まとまってなくてOK。今の一言だけでいい。	app	easy	1	A	not_sure_yet	calm|mixed|heavy	start-chat
act_e05	今の自分に近い選択肢を1つ選ぶ	ぴったりじゃなくても、近いもので大丈夫。	app	easy	1	H	not_sure_yet	calm|mixed|heavy	
act_e06	アプリで使いやすい場所を1つ見つける	話す、整理する、ひと息の中で合いそうなものを見る。	app	normal	3	A	not_sure_yet	calm|mixed|heavy	
act_e07	今週は1分で終わることだけやってみる	続けることを優先して、軽い行動に絞る。	daily	easy	1	G	not_sure_yet	calm|mixed|heavy	
act_e08	よかった/しんどかったを1つずつ見る	自分の反応の出方を少し知る。	daily	normal	3	H	not_sure_yet|understand_my_feelings	calm|mixed	
act_e09	困った時に何を開くか決める	迷った時の最初の一歩だけ持っておく。	daily	easy	1	G	not_sure_yet|have_place_to_rely	calm|mixed|heavy	
act_e10	今週は「続けやすさ」で選ぶ	役に立ちそうかより、やれそうかを優先する。	app	easy	1	G	not_sure_yet	calm|mixed|heavy	
act_e11	合いそうな機能を1つ試して感想を残す	使ってみて合うかどうかを確かめる。	app	bold	3	A	not_sure_yet	calm|mixed	
act_e12	AIと「今の自分に必要そうなこと」を整理する	まだわからない状態を、そのまま材料にして方向性を見つける。	app	bold	5	A	not_sure_yet	calm	start-chat
act_e13	今週のテーマ候補2つを比べて1つ選ぶ	迷ったままにせず、今週だけの方向を仮で決める。	app	bold	3	G	not_sure_yet	calm|mixed	
act_e14	自分が続けやすい条件を1つ見つける	時間帯、長さ、場所など、やりやすさの条件を知る。	daily	bold	3	H	not_sure_yet	calm|mixed|heavy	
act_e15	しんどくなった時の戻り方を決める	正解を決めるより、戻れる形を持っておく。	app	bold	3	G	not_sure_yet|have_place_to_rely	mixed|heavy	
act_f01	肩の力を少し抜く	肩を上げて、下ろすだけでもよい。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_f02	水をひと口飲む	まず体にやさしいことを1つする。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	mixed|heavy	
act_f03	座り直して深く座る	姿勢を少し整えるだけでも気分が変わることがある。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_f04	目を閉じて10秒休む	刺激を少し減らして、いったん区切る。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	heavy	
act_f05	1分だけ静かな時間をつくる	スマホや音から少し離れる。	daily	normal	1	D	reduce_overthinking|not_sure_yet	mixed|heavy	
act_f06	寝る前に画面を見る時間を少し減らす	夜に気持ちが乱れやすい時の準備として使う。	daily	normal	3	D	reduce_overthinking|have_place_to_rely	mixed	
act_f07	いる場所を見回して3つ数える	頭の中から今いる場所に意識を戻す。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	mixed|heavy	
act_f08	手を温める/さする	気持ちがふわふわする時に体に戻るきっかけ。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	heavy	
act_f09	立って1回背伸びする	一度体を広げて、頭の詰まりを少しゆるめる。	daily	easy	1	D	reduce_overthinking|not_sure_yet	calm|mixed|heavy	
act_f10	少しだけ外の空気を吸う	場所を少し変えて切り替える。	daily	normal	3	D	reduce_overthinking|have_place_to_rely	mixed	
act_f11	自分に合う落ち着き方を1つ決める	呼吸、伸びる、歩く、水を飲むなど自分に効きやすいものを選ぶ。	daily	bold	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed	
act_f12	戻りやすい身体の動きを1つ習慣にする	その場でできる身体の切り替えを決めて、使える形にする。	daily	bold	3	G	reduce_overthinking|have_place_to_rely|not_sure_yet	calm|mixed	
act_g01	しんどい時のための一言メモを持つ	「今は休んでいい」など、自分に返す言葉を1つ決める。	daily	easy	1	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g02	今週しんどくなった時の逃げ道を1つ決める	このアプリ、メモ、誰か、など一番使いやすいものを決める。	app	normal	3	G	have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g03	やれた時のハードルを低く決める	「1回できたら十分」にしておく。	app	easy	1	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g04	続かなかった時の戻り方を決める	できない日があっても、次どう戻るかだけ決める。	app	normal	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed	
act_g05	今週は「1回できればOK」にする	毎日ではなく、まず1回できることを目標にする。	daily	easy	1	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g06	今の自分に合う「続け方ルール」を1つ作る	時間帯、回数、無理しない条件などを決める。	app	bold	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed	
act_g07	うまくいかなかった時の次の一歩を先に決める	止まった時の再開を楽にする。	app	bold	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm	
